id,Timestamp,Tanggal hari ini ,Pertemuan ke-,Kualitas materi ,Siapa trainer pada hari ini ?,Bagaimana menurut Trainer pada hari ini ?,Kualitas trainer ,Apakah ada saran secara keseluruhan ?,Kamu mengikuti Bootcamp Batch ?,Tanggal hari ini,Pertemuan ke
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,9/28/2023 21:20:43,9/28/2023,Intro ,5,mf,Mantap,5,tidak ada,,,
e475dfa1-7057-4718-8cec-82e17d598919,9/28/2023 21:28:13,9/28/2023,Pengenalan Bootcamp,5,mf,Trainer di malam ini sangat baik. Trainernya bisa menyampaikan materi dan penjelasan tentang pengenalan bootcamp di Intelligo secara baik dan jelas.,5,-,,,
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,10/3/2023 21:22:09,10/3/2023,Intro to data science,5,ars,Mantap,5,tidak ada,,,
e475dfa1-7057-4718-8cec-82e17d598919,10/3/2023 21:23:41,10/3/2023,Introduction to Data Science,5,ars,Sangat baik. trainer bisa menjelaskan pengenalan sains data secara detail dan mudah dipahami,5,-,,,
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,10/5/2023 21:28:38,10/5/2023,Installment,5,ars,Mantap,5,Tidak ada,,,
e475dfa1-7057-4718-8cec-82e17d598919,10/5/2023 23:34:30,10/5/2023,"Introduction to Python, IDE Python, Coding style, Tools Installation.",5,ars,"Sangat Baik. Bisa menjelaskan secara jelas mengenai pengenalan python, IDE, dan COding Style",5,-,,,
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,10/10/2023 21:26:47,10/10/2023,variable,5,ars,mantap,5,tidak ada,,,
e475dfa1-7057-4718-8cec-82e17d598919,10/12/2023 21:32:46,6/13/2005,"Python Basic 2 - Function Def, Function Lambda, Built-in Function, Exception Handling",5,mdn,Sangat baik,5,-,,,
e475dfa1-7057-4718-8cec-82e17d598919,10/17/2023 21:29:41,10/17/2023,"Struktur Data, Looping, List Comprehension Mini Program",5,mdn,Sangat baik,5,-,,,
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,10/17/2023 21:33:55,10/17/2023,Looping,5,mdn,Bagus,5,-,,,
74aeb301-1852-4b89-98d8-dc18c70a7834,10/22/2023 19:37:22,10/3/2023,"Introduction to Data, Introduction to Data Science, Tips & Trik Berkarir, Implementasi Data Science",4,ars,Kak Andika cukup jelas dan menyenangkan dalam membawakan materi,4,,,,
e475dfa1-7057-4718-8cec-82e17d598919,10/26/2023 21:41:49,10/26/2023,Exploratory Data Analysis 1,5,ars,Sangat baik,5,-,,,
74aeb301-1852-4b89-98d8-dc18c70a7834,10/30/2023 10:27:13,10/26/2023,Scikit-Learn dan pemrograman python yang dicontohkan oleh kak Andika,4,ars,Menyenangkan,4,,,,
e475dfa1-7057-4718-8cec-82e17d598919,10/31/2023 21:35:31,10/31/2023,Exploratory Data Analysis 2 - SQL 1 - Pengenalan dan Dasar SQL,5,mdn,Sangat baik,5,-,,,
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,10/31/2023 21:36:46,10/31/2023,sql,5,mdn,mantap,5,-,,,
e475dfa1-7057-4718-8cec-82e17d598919,11/2/2023 21:22:54,11/2/2023,Exploratory Data Analysis 3 - SQL 2 - Penerapan Lanjutan dan Praktikum,5,mdn,Sangat baik,5,-,,,
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,11/2/2023 21:25:34,2/11/2023,EDA,5,mdn,Mantap,5,-,,,
e475dfa1-7057-4718-8cec-82e17d598919,11/7/2023 20:34:20,11/7/2023,Exploratory Data Analysis 4 - Studi kasus EDA & Materi Bonus serta Pemaparan Mini Project EDA (1 jam),5,mdn,Sangat Baik,5,-,,,
e475dfa1-7057-4718-8cec-82e17d598919,11/16/2023 21:24:46,11/16/2023,"Statistics 2 -  Statistik Deskriptif, Statistik Inferensial, Hypotesis testing",5,mf,Sangat baik,5,-,,,
e475dfa1-7057-4718-8cec-82e17d598919,11/16/2023 21:26:11,11/16/2023,"Statistics 2 -  Statistik Deskriptif, Statistik Inferensial, Hypotesis testing",5,mf,Sangat baik,5,-,,,
e475dfa1-7057-4718-8cec-82e17d598919,11/21/2023 21:22:39,11/21/2023,"Machine Learning 1 - Introduction to Machine Learning, Scikit-Learn, Metode, Algoritma (No Code)",5,mdn,Sangat baik,5,-,,,
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,11/21/2023 21:22:41,11/21/2023,ML,5,mdn,GOOD,5,-,,,
