id,Timestamp,Pilihan Jadwal Kelas,Dari mana kamu mengetahui info ini ?,Status,Nama Kampus / Sekolah / Instansi,Alasan Mengikuti Bootcamp Data Science di Intelligo ID,Harapan setelah mengikuti Bootcamp,Unnamed: 0
d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,1/12/2024 19:44:23,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Facebook,Mahasiswa,UGM,Ingin belajar data scientist,Bisa menjadi data scientist yg siap kerja,
278d7fda-b155-48ea-a14a-c79813c8a257,3/3/2024 12:25:26,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Lain-lain,Mahasiswa,Universitas Mikroskil,Memperdalam Skill,Bisa menguasai skill bidang DS dan bisa memulai freelancer,
5bc4a3cf-85c1-48f5-98b1-86cca6412ecb,4/17/2024 16:31:44,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Fresh Graduates,unindra ,ingin menambah ilmu ,bekerja dibidangnya ,
8466868d-3b97-4c27-bd52-4a2e0aacecfe,4/19/2024 9:03:31,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Umum,Universitas Pancasila,Ingin memperdalam ilmu dan mendapatkan pekerjaan di bidang Data Science,Memilki ilmu yang lebih dari cukup untuk melakukan pekerjaan di bidang Data Science,
063c738e-30ae-49ad-877d-d97287e94231,4/21/2024 9:03:51,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Website,Pekerja aktif,Politeknik TEDC Bandung,Tertarik untuk switch career ke data analyst ,Dapat memperoleh kompetensi yg sesuai dengan yg dibutuhkan perusahaan untuk bidamg data science ,
d40fa582-2d04-438d-b3d2-714fe1fdd16a,4/24/2024 20:26:57,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Pekerja aktif,PT Hiraeth Karya Indonesia,saya ingin mengembangkan karir sebagai data analyst ataupun data scientist,"mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",
b1de696a-5203-4efa-9892-9659a6559ede,4/25/2024 23:39:21,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Mahasiswa,Universitas Mayjen Sungkono ,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,Semoga setelah mengikuti bootcamp ini saya langsung ketrima kerja sesuai apa yang saya harapkan aamiin,
ece26e6e-a96d-4677-861e-0f3e9a765acf,4/26/2024 10:05:37,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,Universitas Pekalongan ,"Untuk memiliki kemampuan untuk menganalisis data, memiliki kemampuan problem solving yang baik",Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,
160e1cad-d896-47e5-b0a1-c01c9c06700e,4/26/2024 18:54:33,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Pekerja aktif,Universitas Jambi ,"Skil , karier dan job ","Dapat ilmu , relasi, jejaring dan project ",
84e82477-5fb8-432b-9c0f-6bd0306ca028,6/18/2024 16:35:47,,LinkedIn,Fresh Graduates,ITS,belajar data sains,memahami data sains,
ee37855a-ddcd-4ff3-9b20-222d45f7c3bb,6/30/2024 8:44:28,,Lain-lain,Fresh Graduates,Universitas Alma Ata ,Ingin mengembangkan karir di bidang Data Science ,Bisa bekerja sebagai Data Science ,
82f0634a-e15e-4d1a-a163-b5dcb790072c,7/1/2024 16:14:41,,Instagram,Pekerja aktif,Gunadarma,Menambah Skill,memiliki insight baru setiap menghadapi masalah yang berkaitan dengan data,
e6167931-7dcd-40cb-a065-3804a08ae841,6/30/2024 8:44:28,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,LinkedIn,Mahasiswa,Universitas Pekalongan ,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,Bisa bekerja sebagai Data Science ,0.0
28c21980-3720-4511-bec7-cc2e6275750a,6/30/2024 8:44:28,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),LinkedIn,Mahasiswa,Universitas Mayjen Sungkono ,saya ingin mengembangkan karir sebagai data analyst ataupun data scientist,menentukan ingin mengambil data science atau data engineering,1.0
6182a456-4de8-43e2-b54f-5836017a532d,4/26/2024 10:05:37,,Instagram,Fresh Graduates,Universitas Alma Ata ,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,2.0
1efd7e76-acea-457d-b43c-d2c538c532b2,4/25/2024 23:39:21,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Lain-lain,Mahasiswa,PENS,"Untuk memiliki kemampuan untuk menganalisis data, memiliki kemampuan problem solving yang baik","mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",3.0
3225e9ea-e884-40bd-a656-818e699d86ec,4/19/2024 9:03:31,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,Universitas Pekalongan ,Tertarik untuk switch career ke data analyst ,bekerja dibidangnya ,4.0
7b2398e5-7c99-4ccd-aa73-5c987b82858f,4/19/2024 9:03:31,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Facebook,Pekerja aktif,unindra ,saya ingin mengembangkan karir sebagai data analyst ataupun data scientist,Memahami ilmu data science sehingga bisa diimplementasikan ke dunia kerja,5.0
37ff7521-e05d-4635-8d59-e3c6f852d77d,4/26/2024 18:54:33,,Lain-lain,Mahasiswa,UNIVERSITAS NEGERI SURABAYA,"Untuk memiliki kemampuan untuk menganalisis data, memiliki kemampuan problem solving yang baik","mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",6.0
1de40c3b-877b-48c2-be67-4021b5459754,7/1/2024 16:14:41,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Mahasiswa,unindra ,ingin menambah ilmu ,Bisa bekerja sebagai Data Science ,7.0
3d110c2c-e912-45ac-b49c-d55781dd00dd,4/19/2024 9:42:53,,Instagram ads,Fresh Graduates,Universitas Pekalongan ,Tertarik untuk switch career ke data analyst ,"mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",8.0
