id,Timestamp,Score,1. Bahasa Python bisa digunakan untuk membuat apa saja ? kecuali...,"2. Salah satu syarat dalam mendefinisikan variabel, kecuali…",3. Jenis tipe data yang bersifat numerik adalah…,"4. Python bisa digunakan di online platform, dibawah ini platform mana yang benar ?","5. Python bisa digunakan di offline platform, dibawah ini platform mana yang benar ?",6. Workflow pada Data Science disebut...,"7. Dibawah ini mana yang benar, jika kita ingin membuat teks Selamat Datang",8. Tipe data untuk mencetak bilangan pecahan adalah...,"9. Penggunaan If-Else pada Python, biasanya digunakan untuk menentukan sebuah kondisi.

Benar atau salah ?","10. Posisi if selalu berada setelah posisi else.

Benar atau salah ? ",Unnamed: 0
b65d1017-228d-483a-b0eb-3ac26cc9e9bd,10/10/2023 19:46:09,80 / 100,AI,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Benar,
74e5f3d2-cf26-41e7-8d59-84141179ddaa,1/15/2024 10:13:07,30 / 100,Game,Harus diawali dengan huruf abjad atau underscore,Dictionary,Semua Benar,Semua Benar,CRIPS-DM,"print(""Intelligo ID"")",Decimal,Benar,Salah,
97774060-01f6-4a1f-8fba-bd5bb8825da8,1/15/2024 12:34:31,90 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,Deployment,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
d0635b9d-75d2-410b-88f3-65c842f791ab,1/16/2024 16:59:19,60 / 100,AI,Tidak boleh ada angka dalam penamaan variabel,String,Google Colab,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,String,Benar,Salah,
d0635b9d-75d2-410b-88f3-65c842f791ab,1/16/2024 17:21:09,80 / 100,AI,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
74e5f3d2-cf26-41e7-8d59-84141179ddaa,1/28/2024 22:19:37,50 / 100,AI,Tidak boleh ada angka dalam penamaan variabel,Dictionary,Semua Benar,Semua Benar,CRIPS-DM,Pilihan 1 dan 3 Benar,Integer,Benar,Salah,
db173744-710a-445d-926a-2475e28a6a1f,2/19/2024 11:12:12,90 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
db173744-710a-445d-926a-2475e28a6a1f,2/19/2024 12:49:21,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,2/19/2024 18:58:04,90 / 100,Game,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
a163f4b2-11af-4f56-a48f-783e0cff92f6,2/19/2024 19:29:04,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Semua Benar,R,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
8466868d-3b97-4c27-bd52-4a2e0aacecfe,2/19/2024 19:49:01,70 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Semua Benar,Semua Benar,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
