,id,Kualitas materi ,Siapa trainer pada hari ini ?,Kualitas trainer ,jumlah_kehadiran
0,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,mf,5,9
1,e475dfa1-7057-4718-8cec-82e17d598919,5,mf,5,15
2,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,ars,5,9
3,e475dfa1-7057-4718-8cec-82e17d598919,5,ars,5,15
4,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,ars,5,9
5,e475dfa1-7057-4718-8cec-82e17d598919,5,ars,5,15
6,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,ars,5,9
7,e475dfa1-7057-4718-8cec-82e17d598919,5,mdn,5,15
8,e475dfa1-7057-4718-8cec-82e17d598919,5,mdn,5,15
9,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,mdn,5,9
10,74aeb301-1852-4b89-98d8-dc18c70a7834,4,ars,4,2
11,e475dfa1-7057-4718-8cec-82e17d598919,5,ars,5,15
12,74aeb301-1852-4b89-98d8-dc18c70a7834,4,ars,4,2
13,e475dfa1-7057-4718-8cec-82e17d598919,5,mdn,5,15
14,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,mdn,5,9
15,e475dfa1-7057-4718-8cec-82e17d598919,5,mdn,5,15
16,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,mdn,5,9
17,e475dfa1-7057-4718-8cec-82e17d598919,5,mdn,5,15
18,e475dfa1-7057-4718-8cec-82e17d598919,5,mf,5,15
19,e475dfa1-7057-4718-8cec-82e17d598919,5,mf,5,15
20,e475dfa1-7057-4718-8cec-82e17d598919,5,mdn,5,15
21,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,mdn,5,9
22,e475dfa1-7057-4718-8cec-82e17d598919,5,mf,5,15
23,e475dfa1-7057-4718-8cec-82e17d598919,5,je,5,15
24,e475dfa1-7057-4718-8cec-82e17d598919,5,je,5,15
25,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,5,mfarsmdn,5,9
26,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mf,5,23
27,e6862f74-a07d-4d01-8259-e9251bcf0556,3,ars,3,4
28,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,mfars,5,21
29,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mfarsmdn,5,23
30,d0635b9d-75d2-410b-88f3-65c842f791ab,4,ars,3,10
31,74e5f3d2-cf26-41e7-8d59-84141179ddaa,4,ars,4,23
32,e6862f74-a07d-4d01-8259-e9251bcf0556,4,ars,4,4
33,d0635b9d-75d2-410b-88f3-65c842f791ab,4,ars,3,10
34,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,ars,5,21
35,74e5f3d2-cf26-41e7-8d59-84141179ddaa,4,ars,4,23
36,e6862f74-a07d-4d01-8259-e9251bcf0556,5,ars,5,4
37,d0635b9d-75d2-410b-88f3-65c842f791ab,4,ars,4,10
38,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,ars,5,21
39,74e5f3d2-cf26-41e7-8d59-84141179ddaa,4,ars,4,23
40,d0635b9d-75d2-410b-88f3-65c842f791ab,4,ars,4,10
41,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,ars,5,21
42,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,ars,5,23
43,e6862f74-a07d-4d01-8259-e9251bcf0556,3,ars,3,4
44,d0635b9d-75d2-410b-88f3-65c842f791ab,4,ars,4,10
45,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,ars,5,21
46,74e5f3d2-cf26-41e7-8d59-84141179ddaa,4,ars,4,23
47,d0635b9d-75d2-410b-88f3-65c842f791ab,4,ars,4,10
48,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,ars,5,21
49,97774060-01f6-4a1f-8fba-bd5bb8825da8,4,mfars,5,21
50,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mf,5,23
51,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mdn,4,23
52,d0635b9d-75d2-410b-88f3-65c842f791ab,4,mdn,4,10
53,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mdn,4,23
54,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mdn,4,23
55,97774060-01f6-4a1f-8fba-bd5bb8825da8,4,mdn,4,21
56,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,mdn,5,21
57,d0635b9d-75d2-410b-88f3-65c842f791ab,5,mdn,4,10
58,e22d33c9-6ca7-47e5-8ee8-4ac90c3ef837,5,ars,5,18
59,c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,4,ars,4,22
60,6e8ade7a-7571-4a9a-bd3e-437b935918c9,5,ars,5,6
61,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,mf,5,21
62,db173744-710a-445d-926a-2475e28a6a1f,4,ars,4,15
63,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mf,5,23
64,8466868d-3b97-4c27-bd52-4a2e0aacecfe,4,mf,4,10
65,cfdf13ec-555a-4284-958a-b497ef6f1d21,5,ars,5,1
66,6e8ade7a-7571-4a9a-bd3e-437b935918c9,5,ars,5,6
67,74e5f3d2-cf26-41e7-8d59-84141179ddaa,5,mf,5,23
68,c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,5,ars,4,22
69,e22d33c9-6ca7-47e5-8ee8-4ac90c3ef837,5,ars,5,18
70,db173744-710a-445d-926a-2475e28a6a1f,4,ars,4,15
71,97774060-01f6-4a1f-8fba-bd5bb8825da8,5,mf,5,21
72,6e8ade7a-7571-4a9a-bd3e-437b935918c9,5,ars,5,6
