,id,Pilihan Jadwal Kelas,Status
0,d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
1,278d7fda-b155-48ea-a14a-c79813c8a257,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
2,5bc4a3cf-85c1-48f5-98b1-86cca6412ecb,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
3,8466868d-3b97-4c27-bd52-4a2e0aacecfe,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
4,063c738e-30ae-49ad-877d-d97287e94231,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
5,d40fa582-2d04-438d-b3d2-714fe1fdd16a,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
6,b1de696a-5203-4efa-9892-9659a6559ede,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
7,ece26e6e-a96d-4677-861e-0f3e9a765acf,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
8,160e1cad-d896-47e5-b0a1-c01c9c06700e,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
9,84e82477-5fb8-432b-9c0f-6bd0306ca028,,Fresh Graduates
10,ee37855a-ddcd-4ff3-9b20-222d45f7c3bb,,Fresh Graduates
11,82f0634a-e15e-4d1a-a163-b5dcb790072c,,Pekerja aktif
12,e6167931-7dcd-40cb-a065-3804a08ae841,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
13,28c21980-3720-4511-bec7-cc2e6275750a,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
14,6182a456-4de8-43e2-b54f-5836017a532d,,Fresh Graduates
15,1efd7e76-acea-457d-b43c-d2c538c532b2,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
16,3225e9ea-e884-40bd-a656-818e699d86ec,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
17,7b2398e5-7c99-4ccd-aa73-5c987b82858f,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
18,37ff7521-e05d-4635-8d59-e3c6f852d77d,,Mahasiswa
19,1de40c3b-877b-48c2-be67-4021b5459754,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
20,3d110c2c-e912-45ac-b49c-d55781dd00dd,,Fresh Graduates
21,b08e0cea-9237-4a5a-87d6-3f72a313ae3f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
22,2af566fa-f86c-462b-b3cf-5868069d103e,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
23,223e96b7-dfbe-442b-9b28-7fef065a6044,,Mahasiswa
24,1c8b2fc6-6dea-4184-9cb0-5dfbe49b73da,,Mahasiswa
25,37725a9e-f7e1-4803-ad03-e9be32e186d4,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
26,23205395-678b-4b55-a150-3fc8227c3a18,,Fresh Graduates
27,66435fb2-4e78-43d7-952d-d83ed97c5590,,Fresh Graduates
28,2f773992-bd33-499d-b4d8-9de663d61d09,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
29,73ae6177-466a-40ab-833a-67f5a7eedc79,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
30,0ee3780f-36f5-4ce7-af65-420a0d0b528c,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
31,b201d5cd-6e38-4c63-8347-e1dbd89720e9,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
32,9bb07206-a24d-488b-91d9-853f606d5fd4,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
33,c16dd75d-767f-4f05-a3cf-e3207ecb51a4,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
34,d5fbe51e-866a-4bc6-acd4-65604d50f3e6,,Fresh Graduates
35,1cb0d1bf-328c-48fc-ba36-d238bcf1b7f6,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
36,a2509b39-af24-4703-842f-27c2dcd12475,,Mahasiswa
