,id,Score
0,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,50 / 100
1,e475dfa1-7057-4718-8cec-82e17d598919,70 / 100
2,e475dfa1-7057-4718-8cec-82e17d598919,100 / 100
3,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,100 / 100
4,97774060-01f6-4a1f-8fba-bd5bb8825da8,30 / 100
5,74e5f3d2-cf26-41e7-8d59-84141179ddaa,10 / 100
6,97774060-01f6-4a1f-8fba-bd5bb8825da8,100 / 100
7,74e5f3d2-cf26-41e7-8d59-84141179ddaa,90 / 100
8,953b2a78-6245-4cb2-a68a-5f0bc4dfe914,90 / 100
9,c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,50 / 100
10,c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,100 / 100
11,d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,50 / 100
12,d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,50 / 100
13,141ebfff-2112-4fb0-9522-2f6a34f388a7,40 / 100
14,14715ea5-f0f1-4efa-ad44-4a938d428808,30 / 100
15,c190954b-bffb-46fc-b723-4cff80f1a53a,50 / 100
16,54f1ad28-35bb-419d-8caa-a3cb090a1adf,80 / 100
17,0ec3cc8e-5fdb-4409-9be9-44cd669512aa,50 / 100
18,c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,50 / 100
19,2543d4db-5f30-4a5d-8380-d6ebff0916c0,20 / 100
20,96908bfe-dea7-4750-8ed8-6e5364b3527c,60 / 100
21,96908bfe-dea7-4750-8ed8-6e5364b3527c,100 / 100
22,e6167931-7dcd-40cb-a065-3804a08ae841,40 / 100
23,28c21980-3720-4511-bec7-cc2e6275750a,50 / 100
24,6182a456-4de8-43e2-b54f-5836017a532d,90 / 100
25,1efd7e76-acea-457d-b43c-d2c538c532b2,40 / 100
26,3225e9ea-e884-40bd-a656-818e699d86ec,50 / 100
27,7b2398e5-7c99-4ccd-aa73-5c987b82858f,40 / 100
28,37ff7521-e05d-4635-8d59-e3c6f852d77d,50 / 100
29,1de40c3b-877b-48c2-be67-4021b5459754,100 / 100
30,3d110c2c-e912-45ac-b49c-d55781dd00dd,50 / 100
31,b08e0cea-9237-4a5a-87d6-3f72a313ae3f,40 / 100
32,2af566fa-f86c-462b-b3cf-5868069d103e,40 / 100
33,223e96b7-dfbe-442b-9b28-7fef065a6044,90 / 100
34,1c8b2fc6-6dea-4184-9cb0-5dfbe49b73da,60 / 100
35,37725a9e-f7e1-4803-ad03-e9be32e186d4,40 / 100
36,23205395-678b-4b55-a150-3fc8227c3a18,100 / 100
37,66435fb2-4e78-43d7-952d-d83ed97c5590,40 / 100
38,2f773992-bd33-499d-b4d8-9de663d61d09,50 / 100
39,73ae6177-466a-40ab-833a-67f5a7eedc79,50 / 100
40,0ee3780f-36f5-4ce7-af65-420a0d0b528c,60 / 100
41,b201d5cd-6e38-4c63-8347-e1dbd89720e9,50 / 100
42,9bb07206-a24d-488b-91d9-853f606d5fd4,40 / 100
43,c16dd75d-767f-4f05-a3cf-e3207ecb51a4,90 / 100
44,d5fbe51e-866a-4bc6-acd4-65604d50f3e6,100 / 100
45,1cb0d1bf-328c-48fc-ba36-d238bcf1b7f6,40 / 100
46,a2509b39-af24-4703-842f-27c2dcd12475,50 / 100
47,50bc13c3-0c72-4cab-a0af-b1569c6608e6,40 / 100
48,8633ed8f-31e9-45be-8c95-1a50d1658229,50 / 100
49,38ba55a0-96fe-4f04-af03-fe2a75bf9968,50 / 100
50,e7ec3fdb-639e-430f-978e-10c034fd3978,40 / 100
51,b72ffd03-aef1-4d7f-896e-953964384583,40 / 100
52,a9c35b24-76a8-4b67-addd-81845fb390c7,60 / 100
53,202f45d7-fcef-4cc2-8278-6cd8e89d01cd,80 / 100
54,640d60da-a441-4460-b386-d9613ee01d28,60 / 100
55,dac33426-3c77-4e9c-807c-3ecdc261339f,50 / 100
56,0a986dd7-a658-40a9-9d1b-d3074e036e35,100 / 100
57,d4024ed1-cddb-4e3c-aea5-6616191d699f,50 / 100
58,6ec72b3a-0222-42ca-a3fe-bc17e019a32f,50 / 100
59,f6c33008-5144-41d8-b2a5-a570e9f1561b,60 / 100
60,9b6d950a-d667-4f0b-ac67-0d810b2feff6,40 / 100
61,47ab6a24-9a36-4af9-b4a4-651bfa037130,90 / 100
62,d26cad8a-57db-41ec-9679-d73b30e718dc,40 / 100
63,9ffb6093-07ab-4c59-8f50-d7b38b640c04,40 / 100
64,e835a550-12b8-48aa-84a8-7fc1c8b1e775,60 / 100
65,ab9d4c1f-1773-4f12-88e1-ecd78f51e309,80 / 100
66,e876c637-3708-402f-9fc3-ed2a59c697c9,80 / 100
67,52a42141-4b24-488f-8631-7ef301b1c14c,50 / 100
68,4c39b0b9-c9d0-45ac-b545-190c3da984fa,90 / 100
69,9fd059e2-db33-4855-9374-7ccccc82e66e,90 / 100
70,90f03727-0a86-4f64-8828-9b8d6d2a0650,50 / 100
71,4f727795-2eba-42fd-97a6-dd7a8a15282b,50 / 100
72,fea9deb6-7320-4e71-8c81-a5529ccdd68c,40 / 100
73,89659f75-6600-40be-8c14-322a5ae87e24,40 / 100
74,8d2d94c5-8114-4962-a74e-d3f9ce3f36f5,90 / 100
75,11a3f0b6-30be-4055-bd52-045a04e860fe,100 / 100
76,cec079b7-5691-4cd0-9092-3b0388c25d4a,50 / 100
77,f79501bb-dbe6-4ba4-8439-e4740856c51a,60 / 100
78,f064f333-666c-499f-bfcb-b71607e60de7,90 / 100
79,5939bdfb-18e1-40ee-8654-d802e218a33f,100 / 100
80,e7cb74f4-ab7a-4555-90a9-a9f5ecb3f9b6,100 / 100
81,e98d0b49-dc22-4be4-89e6-38ba25d671b3,50 / 100
82,91753f65-ede6-4be5-b7a7-9e8b4da7cc42,100 / 100
83,53292fdb-b353-457a-8482-81bdab16d44f,40 / 100
84,9493905e-b65c-40ce-b799-c350ed3e1f18,80 / 100
85,9b87a188-a71f-4d7a-bb50-b7fae8022f80,40 / 100
86,be4db01d-a7c7-4918-93df-7014dc077733,60 / 100
87,dfac5d22-8882-4707-bbe8-9325b9ddc739,60 / 100
88,afcb575e-c985-4e48-8663-6e73dd6dbe65,40 / 100
89,342ea9ee-c313-48ec-9c3e-d11cc7614f54,60 / 100
90,dd17fd3c-6723-465c-8b53-ce5998b51003,40 / 100
91,44ca9a06-8b5d-42d1-a313-dfee18559727,40 / 100
92,dda13a7f-e01e-4084-b353-9a7870744ff1,40 / 100
93,cae3f7d3-ef38-44cd-99ae-c2606063e41f,40 / 100
94,26180c48-bfbb-4af5-b4ff-6a1aa15b9f84,40 / 100
95,5cb0e54b-ec8d-46d8-8d81-eaa3e0687114,40 / 100
96,ab3fe741-a432-4b93-97e7-ca7f86b14d56,80 / 100
97,51c428b4-c4a7-4da8-86e1-1fa640026086,60 / 100
98,49e2e565-049d-4753-871a-2ec2587d386e,50 / 100
99,e59739bb-d66f-479b-92f8-1a526fb5a428,90 / 100
100,cdb366d6-e302-45aa-b61c-6bb4bd827c4f,80 / 100
101,bd3fa596-ba3b-4756-90a8-164d551c2b98,80 / 100
102,5fb096ef-d891-4c20-aabc-80216c7d0ac6,60 / 100
103,e0c2a19b-d844-4f21-887c-a90f7c9b4346,80 / 100
104,6be004f0-b701-4daa-b7e2-312b56f97129,50 / 100
105,0b187bd8-2c9e-4c1a-ad95-1ac60fa3f39d,40 / 100
106,7a024b41-0a4e-41dd-ad47-121884fa8a11,80 / 100
107,a50dc3c0-5a19-4025-83eb-5812671c9480,50 / 100
108,d1560a24-8c99-4ae8-85f9-c9bf80991ce4,60 / 100
109,444bb96e-33b5-408b-8f36-792f40a9e402,50 / 100
110,11b7094b-b88a-4478-b067-09000dfe4062,50 / 100
111,637a2933-734a-4323-a7e9-7f9f79ad4dc4,50 / 100
112,1105bd82-4df4-4116-be5a-0fc3f7506907,40 / 100
113,a8272db8-0e9f-4372-a757-661bd02f9051,60 / 100
114,c81c0d30-be22-4d14-a328-3760bfd5e023,40 / 100
115,573f0cfc-29ec-4c96-b6fa-c4b9c5746ccf,40 / 100
116,a51ce71d-9acf-4e2f-b3bb-2d456a3de7ec,50 / 100
117,4c618e0b-e52e-4b54-98ca-542b28fe4432,90 / 100
118,220cc7c6-0cef-413b-af2a-ec2208ceac65,50 / 100
119,5ea1e29a-d64c-4b9b-bf02-d7bb6e8b1156,50 / 100
120,f29b1b86-ab96-4876-889d-70b5955a01c7,40 / 100
121,b50df7ff-04f6-45b6-b3fd-0d96d4fbcd61,40 / 100
122,5e6e310e-6abc-4e1a-b8e6-75b0a5b991b2,40 / 100
123,6e1d86b6-1249-4c44-a984-f1ea046d19b8,90 / 100
124,9054ffc8-9df3-4b73-a700-17b228a19cba,80 / 100
125,a04fce7c-b286-4d7c-a980-189ed10f7dcb,40 / 100
126,f443f8f7-c1f8-4b45-a91c-5a994f4c0ef6,90 / 100
127,e7d7ce10-2049-4fbe-8a69-710eb0c0b707,40 / 100
128,ff9d3a2b-707a-4274-9447-421946699738,40 / 100
129,22b43ba7-0a64-49dd-bf2f-b6920e84a056,100 / 100
130,65f9bddd-fe54-4b4a-b2fa-8104c5db89c0,40 / 100
131,b19d51d1-cbaf-4d83-948a-e8f634e3ca48,40 / 100
132,68808f5c-066f-4afa-b2fa-ae7abe1e6ba5,50 / 100
133,8f526ed2-d369-4494-ac76-83d6b718337f,80 / 100
134,53204bad-4011-4a1a-b4d1-cee62543e32e,90 / 100
135,9cdeb8f3-f6ad-44fd-bccb-390c69038d0b,50 / 100
136,d13135a7-9a68-4169-815e-981149a54291,50 / 100
137,0bb3ee6a-85cc-4eb3-b648-e8c08e1364db,50 / 100
138,fb0fdb0e-a962-4fa1-8447-b5f52235ffe8,90 / 100
139,9ac75f91-4f73-4df0-bb20-b7de3069baee,40 / 100
140,50fe2f3d-7fa4-43b4-b182-6ff9a0371dd4,40 / 100
141,5d674651-5ef2-4f04-b0fd-1cb744d92488,50 / 100
142,24e8d7e7-70e0-47f0-835c-f03045861de5,40 / 100
143,375b7df7-16cd-4376-965f-52dc0c4f3eb3,40 / 100
144,39acfef6-976a-4ca5-a481-e5d887907fad,100 / 100
145,ebcfc29b-0f9a-4a12-88c4-66d907cc65c9,80 / 100
146,eb698920-996b-4bbd-b8a5-7414f307aa42,80 / 100
147,80b41e1b-5190-447f-b409-c16b01162cf0,50 / 100
148,f6079976-5f69-482b-8b84-179dd5524bfa,40 / 100
149,f10cf3ff-f51e-442d-bee4-d1c0099c264c,100 / 100
150,98101cf4-a26d-4e32-9f91-6f42993b3ea1,40 / 100
151,a93b4520-48eb-4201-afbf-b8d72d7eb56a,40 / 100
