,id,Score
0,b65d1017-228d-483a-b0eb-3ac26cc9e9bd,75 / 100
1,d0635b9d-75d2-410b-88f3-65c842f791ab,70 / 100
2,d0635b9d-75d2-410b-88f3-65c842f791ab,100 / 100
3,97774060-01f6-4a1f-8fba-bd5bb8825da8,100 / 100
4,74e5f3d2-cf26-41e7-8d59-84141179ddaa,65 / 100
5,c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,85 / 100
6,8466868d-3b97-4c27-bd52-4a2e0aacecfe,90 / 100
7,4df56b10-a976-48c4-9544-ed5ec4dff0f8,100 / 100
8,92a31f98-a180-4039-8237-40ea8342b148,20 / 100
9,87d86ef2-8273-4c3b-bf37-288826a6238f,55 / 100
10,84e82477-5fb8-432b-9c0f-6bd0306ca028,80 / 100
11,d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,60 / 100
12,d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,75 / 100
13,141ebfff-2112-4fb0-9522-2f6a34f388a7,50 / 100
14,c190954b-bffb-46fc-b723-4cff80f1a53a,60 / 100
15,c50a8c1d-4e80-4333-b9b9-4c3fe136fffb,55 / 100
16,0ec3cc8e-5fdb-4409-9be9-44cd669512aa,80 / 100
17,14715ea5-f0f1-4efa-ad44-4a938d428808,60 / 100
18,54f1ad28-35bb-419d-8caa-a3cb090a1adf,90 / 100
19,2543d4db-5f30-4a5d-8380-d6ebff0916c0,40 / 100
20,e6167931-7dcd-40cb-a065-3804a08ae841,90 / 100
21,28c21980-3720-4511-bec7-cc2e6275750a,90 / 100
22,6182a456-4de8-43e2-b54f-5836017a532d,80 / 100
23,1efd7e76-acea-457d-b43c-d2c538c532b2,90 / 100
24,3225e9ea-e884-40bd-a656-818e699d86ec,90 / 100
25,7b2398e5-7c99-4ccd-aa73-5c987b82858f,95 / 100
26,37ff7521-e05d-4635-8d59-e3c6f852d77d,75 / 100
27,1de40c3b-877b-48c2-be67-4021b5459754,60 / 100
28,3d110c2c-e912-45ac-b49c-d55781dd00dd,50 / 100
29,b08e0cea-9237-4a5a-87d6-3f72a313ae3f,100 / 100
30,2af566fa-f86c-462b-b3cf-5868069d103e,95 / 100
31,223e96b7-dfbe-442b-9b28-7fef065a6044,90 / 100
32,1c8b2fc6-6dea-4184-9cb0-5dfbe49b73da,80 / 100
33,37725a9e-f7e1-4803-ad03-e9be32e186d4,80 / 100
34,23205395-678b-4b55-a150-3fc8227c3a18,60 / 100
35,66435fb2-4e78-43d7-952d-d83ed97c5590,100 / 100
36,2f773992-bd33-499d-b4d8-9de663d61d09,80 / 100
37,73ae6177-466a-40ab-833a-67f5a7eedc79,75 / 100
38,0ee3780f-36f5-4ce7-af65-420a0d0b528c,95 / 100
39,b201d5cd-6e38-4c63-8347-e1dbd89720e9,90 / 100
40,9bb07206-a24d-488b-91d9-853f606d5fd4,90 / 100
41,c16dd75d-767f-4f05-a3cf-e3207ecb51a4,65 / 100
42,d5fbe51e-866a-4bc6-acd4-65604d50f3e6,60 / 100
43,1cb0d1bf-328c-48fc-ba36-d238bcf1b7f6,100 / 100
44,a2509b39-af24-4703-842f-27c2dcd12475,65 / 100
45,50bc13c3-0c72-4cab-a0af-b1569c6608e6,60 / 100
46,8633ed8f-31e9-45be-8c95-1a50d1658229,65 / 100
47,38ba55a0-96fe-4f04-af03-fe2a75bf9968,90 / 100
48,e7ec3fdb-639e-430f-978e-10c034fd3978,65 / 100
49,b72ffd03-aef1-4d7f-896e-953964384583,70 / 100
50,a9c35b24-76a8-4b67-addd-81845fb390c7,80 / 100
51,202f45d7-fcef-4cc2-8278-6cd8e89d01cd,95 / 100
52,640d60da-a441-4460-b386-d9613ee01d28,50 / 100
53,dac33426-3c77-4e9c-807c-3ecdc261339f,100 / 100
54,0a986dd7-a658-40a9-9d1b-d3074e036e35,100 / 100
55,d4024ed1-cddb-4e3c-aea5-6616191d699f,80 / 100
56,6ec72b3a-0222-42ca-a3fe-bc17e019a32f,95 / 100
57,f6c33008-5144-41d8-b2a5-a570e9f1561b,90 / 100
58,9b6d950a-d667-4f0b-ac67-0d810b2feff6,80 / 100
59,47ab6a24-9a36-4af9-b4a4-651bfa037130,65 / 100
60,d26cad8a-57db-41ec-9679-d73b30e718dc,60 / 100
61,9ffb6093-07ab-4c59-8f50-d7b38b640c04,95 / 100
62,e835a550-12b8-48aa-84a8-7fc1c8b1e775,60 / 100
63,ab9d4c1f-1773-4f12-88e1-ecd78f51e309,100 / 100
64,e876c637-3708-402f-9fc3-ed2a59c697c9,75 / 100
65,52a42141-4b24-488f-8631-7ef301b1c14c,50 / 100
66,4c39b0b9-c9d0-45ac-b545-190c3da984fa,100 / 100
67,9fd059e2-db33-4855-9374-7ccccc82e66e,100 / 100
68,90f03727-0a86-4f64-8828-9b8d6d2a0650,95 / 100
69,4f727795-2eba-42fd-97a6-dd7a8a15282b,90 / 100
70,fea9deb6-7320-4e71-8c81-a5529ccdd68c,100 / 100
71,89659f75-6600-40be-8c14-322a5ae87e24,90 / 100
72,8d2d94c5-8114-4962-a74e-d3f9ce3f36f5,90 / 100
73,11a3f0b6-30be-4055-bd52-045a04e860fe,65 / 100
74,cec079b7-5691-4cd0-9092-3b0388c25d4a,50 / 100
75,f79501bb-dbe6-4ba4-8439-e4740856c51a,75 / 100
76,f064f333-666c-499f-bfcb-b71607e60de7,100 / 100
77,5939bdfb-18e1-40ee-8654-d802e218a33f,95 / 100
78,e7cb74f4-ab7a-4555-90a9-a9f5ecb3f9b6,100 / 100
79,e98d0b49-dc22-4be4-89e6-38ba25d671b3,75 / 100
80,91753f65-ede6-4be5-b7a7-9e8b4da7cc42,100 / 100
81,53292fdb-b353-457a-8482-81bdab16d44f,70 / 100
82,9493905e-b65c-40ce-b799-c350ed3e1f18,100 / 100
83,9b87a188-a71f-4d7a-bb50-b7fae8022f80,65 / 100
84,be4db01d-a7c7-4918-93df-7014dc077733,90 / 100
85,dfac5d22-8882-4707-bbe8-9325b9ddc739,65 / 100
86,afcb575e-c985-4e48-8663-6e73dd6dbe65,90 / 100
87,342ea9ee-c313-48ec-9c3e-d11cc7614f54,100 / 100
88,dd17fd3c-6723-465c-8b53-ce5998b51003,85 / 100
89,44ca9a06-8b5d-42d1-a313-dfee18559727,75 / 100
90,dda13a7f-e01e-4084-b353-9a7870744ff1,65 / 100
91,cae3f7d3-ef38-44cd-99ae-c2606063e41f,60 / 100
92,26180c48-bfbb-4af5-b4ff-6a1aa15b9f84,100 / 100
93,5cb0e54b-ec8d-46d8-8d81-eaa3e0687114,85 / 100
94,ab3fe741-a432-4b93-97e7-ca7f86b14d56,60 / 100
95,51c428b4-c4a7-4da8-86e1-1fa640026086,85 / 100
96,49e2e565-049d-4753-871a-2ec2587d386e,70 / 100
97,e59739bb-d66f-479b-92f8-1a526fb5a428,100 / 100
98,cdb366d6-e302-45aa-b61c-6bb4bd827c4f,70 / 100
99,bd3fa596-ba3b-4756-90a8-164d551c2b98,90 / 100
100,5fb096ef-d891-4c20-aabc-80216c7d0ac6,50 / 100
101,e0c2a19b-d844-4f21-887c-a90f7c9b4346,95 / 100
102,6be004f0-b701-4daa-b7e2-312b56f97129,85 / 100
103,0b187bd8-2c9e-4c1a-ad95-1ac60fa3f39d,90 / 100
104,7a024b41-0a4e-41dd-ad47-121884fa8a11,80 / 100
105,a50dc3c0-5a19-4025-83eb-5812671c9480,90 / 100
106,d1560a24-8c99-4ae8-85f9-c9bf80991ce4,100 / 100
107,444bb96e-33b5-408b-8f36-792f40a9e402,90 / 100
108,11b7094b-b88a-4478-b067-09000dfe4062,90 / 100
109,637a2933-734a-4323-a7e9-7f9f79ad4dc4,100 / 100
110,1105bd82-4df4-4116-be5a-0fc3f7506907,70 / 100
111,a8272db8-0e9f-4372-a757-661bd02f9051,65 / 100
112,c81c0d30-be22-4d14-a328-3760bfd5e023,75 / 100
113,573f0cfc-29ec-4c96-b6fa-c4b9c5746ccf,50 / 100
114,a51ce71d-9acf-4e2f-b3bb-2d456a3de7ec,90 / 100
115,4c618e0b-e52e-4b54-98ca-542b28fe4432,100 / 100
116,220cc7c6-0cef-413b-af2a-ec2208ceac65,50 / 100
117,5ea1e29a-d64c-4b9b-bf02-d7bb6e8b1156,80 / 100
118,f29b1b86-ab96-4876-889d-70b5955a01c7,70 / 100
119,b50df7ff-04f6-45b6-b3fd-0d96d4fbcd61,85 / 100
120,5e6e310e-6abc-4e1a-b8e6-75b0a5b991b2,100 / 100
121,6e1d86b6-1249-4c44-a984-f1ea046d19b8,90 / 100
122,9054ffc8-9df3-4b73-a700-17b228a19cba,70 / 100
123,a04fce7c-b286-4d7c-a980-189ed10f7dcb,80 / 100
124,f443f8f7-c1f8-4b45-a91c-5a994f4c0ef6,90 / 100
125,e7d7ce10-2049-4fbe-8a69-710eb0c0b707,80 / 100
126,ff9d3a2b-707a-4274-9447-421946699738,70 / 100
127,22b43ba7-0a64-49dd-bf2f-b6920e84a056,60 / 100
128,65f9bddd-fe54-4b4a-b2fa-8104c5db89c0,95 / 100
129,b19d51d1-cbaf-4d83-948a-e8f634e3ca48,95 / 100
130,68808f5c-066f-4afa-b2fa-ae7abe1e6ba5,85 / 100
131,8f526ed2-d369-4494-ac76-83d6b718337f,75 / 100
132,53204bad-4011-4a1a-b4d1-cee62543e32e,85 / 100
133,9cdeb8f3-f6ad-44fd-bccb-390c69038d0b,75 / 100
134,d13135a7-9a68-4169-815e-981149a54291,90 / 100
135,0bb3ee6a-85cc-4eb3-b648-e8c08e1364db,80 / 100
136,fb0fdb0e-a962-4fa1-8447-b5f52235ffe8,100 / 100
137,9ac75f91-4f73-4df0-bb20-b7de3069baee,50 / 100
138,50fe2f3d-7fa4-43b4-b182-6ff9a0371dd4,65 / 100
139,5d674651-5ef2-4f04-b0fd-1cb744d92488,100 / 100
140,24e8d7e7-70e0-47f0-835c-f03045861de5,80 / 100
141,375b7df7-16cd-4376-965f-52dc0c4f3eb3,50 / 100
142,39acfef6-976a-4ca5-a481-e5d887907fad,80 / 100
143,ebcfc29b-0f9a-4a12-88c4-66d907cc65c9,100 / 100
144,eb698920-996b-4bbd-b8a5-7414f307aa42,100 / 100
145,80b41e1b-5190-447f-b409-c16b01162cf0,85 / 100
146,f6079976-5f69-482b-8b84-179dd5524bfa,50 / 100
147,f10cf3ff-f51e-442d-bee4-d1c0099c264c,60 / 100
148,98101cf4-a26d-4e32-9f91-6f42993b3ea1,65 / 100
149,a93b4520-48eb-4201-afbf-b8d72d7eb56a,85 / 100
150,61dbc7bb-5997-4446-a7eb-5b0cd4ea98db,95 / 100
151,8e0fa808-9c9f-47f2-aaa1-6fd29a3c638d,90 / 100
152,7c7aeed7-f005-426d-aafd-368700609ba0,85 / 100
153,1b06ccbe-4819-4c66-9629-77abef688416,65 / 100
154,9347de8d-7c8f-4fe7-bb9d-ccf63c729d89,85 / 100
155,26321a8a-0e7d-451e-a0f3-787a7432d9cb,90 / 100
156,a4272ae2-4e7e-4252-a49a-10445c387bc6,50 / 100
157,e62e4b0c-e929-48f4-ad21-f172df57e747,100 / 100
158,2d1a4ae6-c125-4238-ae47-5496c45d5d8c,60 / 100
159,e33fe1f5-796c-4c1d-84c4-32eb396f9837,80 / 100
160,4e5e83e4-af3a-4513-ae2d-281f7991fdb7,50 / 100
161,df68b52d-88f5-4b15-9731-39301acac35b,75 / 100
162,c3199038-0991-484e-bfee-899557351e13,50 / 100
163,ede1c719-13be-432a-958d-e5e220f7b972,95 / 100
164,af8a0613-364e-42b4-903f-c2ea6ed41cea,80 / 100
165,c393b545-0428-4a31-927b-e603aa307049,60 / 100
166,1a26488b-6cd0-47ce-a93f-a8b4c8da09e2,100 / 100
167,d056ef76-a2d5-4e81-9a82-0a5190a878e8,85 / 100
168,f5d4a203-e308-452c-86e4-9412e871f2e8,60 / 100
169,9e679f83-7105-4a2c-b9d2-82964ea88b4f,70 / 100
170,20d213ef-76bf-41bb-bc87-9ffcfa2127bc,80 / 100
171,8c8342e9-a790-4117-b607-5415d372b7f6,90 / 100
172,a21eedda-983a-47dd-81fc-20e1b1f34d9e,100 / 100
173,6f680a58-6e7f-4b24-ab2a-8f615cd14a21,90 / 100
174,d5b84e64-0316-493b-9d2d-3d5a49490e9c,95 / 100
175,85c289f3-c492-4b55-91f1-25a199c58832,70 / 100
176,8cc0183c-f480-475a-a25b-559f3576b7c5,70 / 100
177,86677349-04ed-425a-b521-0389359ed54e,95 / 100
178,455e0529-272b-4550-95d5-a0bdb835ca9f,90 / 100
179,20c3a3f4-11c6-43d4-a63d-88f54b3b8096,70 / 100
180,acf94512-66a4-418e-98d7-dfc6c4691d80,50 / 100
